Tool,feature,shift_z,operation,n,abs_shift_z
J,311X95,-0.19046906079181494,311,142,0.19046906079181494
J,520X294,-0.19044601766825486,520,142,0.19044601766825486
J,312X11,-0.19036832666174772,312,142,0.19036832666174772
O,210X39,0.19033698264064272,210,86,0.19033698264064272
J,330X1175,-0.19024622127933674,330,142,0.19024622127933674
J,220X186,0.19024161779346177,220,142,0.19024161779346177
O,400X58,0.19022279745827364,400,86,0.19022279745827364
L,330X465,-0.19020351704883012,330,178,0.19020351704883012
O,310X101,-0.1900767593611514,310,86,0.1900767593611514
J,344X255,0.18982253485485523,344,142,0.18982253485485523
J,360X499,0.1897859367398594,360,142,0.1897859367398594
J,330X169,0.18968663770330882,330,142,0.18968663770330882
M,750X704,0.18965990309584863,750,128,0.18965990309584863
O,312X590,-0.18964718418480217,312,86,0.18964718418480217
O,310X15,-0.1895452313661769,310,86,0.1895452313661769
J,312X3,0.1894202783186009,312,142,0.1894202783186009
O,360X337,-0.18939947948224933,360,86,0.18939947948224933
O,340X47,0.1893839420755144,340,86,0.1893839420755144
M,312X446,0.1893248336991696,312,128,0.1893248336991696
M,750X785,-0.18928061959693815,750,128,0.18928061959693815
M,312X193,-0.18914389800667028,312,128,0.18914389800667028
N,330X1039,0.18914238316946466,330,266,0.18914238316946466
M,330X923,0.1890136643104797,330,128,0.1890136643104797
O,312X596,-0.18900367063185144,312,86,0.18900367063185144
O,312X720,0.1889377521489128,312,86,0.1889377521489128
L,312X287,0.18888500527205354,312,178,0.18888500527205354
M,750X1105,0.18885751017795666,750,128,0.18885751017795666
J,520X290,-0.1888396496493822,520,142,0.1888396496493822
M,520X77,-0.1887807814746527,520,128,0.1887807814746527
O,330X1100,0.18869986708778944,330,86,0.18869986708778944
O,210X44,0.1886614228399095,210,86,0.1886614228399095
N,210X2,0.18866083121421862,210,266,0.18866083121421862
M,400X187,0.18860560434116405,400,128,0.18860560434116405
L,220X163,-0.18852956348286076,220,178,0.18852956348286076
O,210X46,0.18851062209535366,210,86,0.18851062209535366
O,750X1028,0.1884103396665754,750,86,0.1884103396665754
O,400X144,0.18836482881149397,400,86,0.18836482881149397
O,310X24,-0.18834604165440008,310,86,0.18834604165440008
L,400X30,-0.18833879811899817,400,178,0.18833879811899817
J,312X292,0.18825983060327026,312,142,0.18825983060327026
M,220X182,-0.18825176406077795,220,128,0.18825176406077795
M,220X179,-0.18825176406070238,220,128,0.18825176406070238
M,220X181,0.1882517640606905,220,128,0.1882517640606905
N,330X1037,0.1882078406228726,330,266,0.1882078406228726
N,750X661,0.1882020947659006,750,266,0.1882020947659006
O,330X1000,-0.18818288814975123,330,86,0.18818288814975123
J,330X398,-0.18816096645766583,330,142,0.18816096645766583
O,210X40,0.18814263786618082,210,86,0.18814263786618082
O,ERROR:#N/A_14,-0.18804946284228763,UNKNOWN,86,0.18804946284228763
N,330X1041,0.18791689561683728,330,266,0.18791689561683728
O,312X448,-0.18790296377373172,312,86,0.18790296377373172
M,750X702,-0.18786668224008365,750,128,0.18786668224008365
M,220X171,-0.1877440754534488,220,128,0.1877440754534488
J,360X896,-0.18771176002939613,360,142,0.18771176002939613
N,210X94,-0.18767078012584526,210,266,0.18767078012584526
J,330X1173,-0.1876337957734397,330,142,0.1876337957734397
L,344X177,0.1875994768251442,344,178,0.1875994768251442
O,750X414,0.18755301457128776,750,86,0.18755301457128776
J,440AX110,-0.18751730955858306,UNKNOWN,142,0.18751730955858306
O,330X104,-0.18748514176991515,330,86,0.18748514176991515
L,330X193,0.1874679977024441,330,178,0.1874679977024441
J,330X1013,-0.18746718373330037,330,142,0.18746718373330037
L,311X164,-0.18745569405226364,311,178,0.18745569405226364
J,330X798,0.1873317479530155,330,142,0.1873317479530155
J,340X7,-0.18733030410790655,340,142,0.18733030410790655
O,311X11,0.18727960576938224,311,86,0.18727960576938224
O,440AX125,0.1872701555439298,UNKNOWN,86,0.1872701555439298
M,750X696,0.1872644718009712,750,128,0.1872644718009712
J,311X211,0.18717347088844047,311,142,0.18717347088844047
M,400X115,-0.1871264492126659,400,128,0.1871264492126659
O,360X263,-0.18708213546624675,360,86,0.18708213546624675
L,220X5,-0.1870686199762865,220,178,0.1870686199762865
L,750X710,-0.18702891964140703,750,178,0.18702891964140703
N,344X174,0.18701757191185384,344,266,0.18701757191185384
M,312X576,0.1870049222036056,312,128,0.1870049222036056
M,312X358,0.1868999521512813,312,128,0.1868999521512813
L,750X1291,-0.18688591799008258,750,178,0.18688591799008258
O,330X149,-0.1868257296153215,330,86,0.1868257296153215
O,330X11,0.18668776095687012,330,86,0.18668776095687012
M,340X37,-0.18666821643824108,340,128,0.18666821643824108
L,311X55,-0.18652743128418484,311,178,0.18652743128418484
O,300X10,0.18638256773931,300,86,0.18638256773931
M,220X30,0.1863693968999461,220,128,0.1863693968999461
O,330X602,0.18633649230312338,330,86,0.18633649230312338
M,330X144,-0.1862359059123048,330,128,0.1862359059123048
J,312X291,0.1861624114861146,312,142,0.1861624114861146
J,420X37,-0.18607835844003165,420,142,0.18607835844003165
M,360X1116,0.18596880568191845,360,128,0.18596880568191845
L,220X33,-0.1859643229458152,220,178,0.1859643229458152
N,330X430,-0.18595076638358465,330,266,0.18595076638358465
J,312X66,-0.185949608834371,312,142,0.185949608834371
L,210X119,-0.18583646708136575,210,178,0.18583646708136575
N,310X22,0.1857990512740967,310,266,0.1857990512740967
J,312X23,-0.185744526998816,312,142,0.185744526998816
O,420X79,-0.18572729790550574,420,86,0.18572729790550574
M,420X215,0.18561081249177944,420,128,0.18561081249177944
J,312X442,-0.18553225085575256,312,142,0.18553225085575256
J,330X391,-0.18547898627042222,330,142,0.18547898627042222
M,312X328,0.18545526225836645,312,128,0.18545526225836645
M,210X191,-0.18540537540112742,210,128,0.18540537540112742
L,420X114,-0.18523133146493115,420,178,0.18523133146493115
N,310X24,0.18522693873336807,310,266,0.18522693873336807
O,ERROR:#N/A_6,-0.18521693482593463,UNKNOWN,86,0.18521693482593463
J,330X1177,-0.18513732191711185,330,142,0.18513732191711185
J,750X1313,-0.18511681092204738,750,142,0.18511681092204738
M,220X26,-0.18500744853771445,220,128,0.18500744853771445
O,400X118,0.1849799690052837,400,86,0.1849799690052837
J,400X136,-0.18495197991638254,400,142,0.18495197991638254
L,311X58,-0.1848125115719338,311,178,0.1848125115719338
M,210X54,-0.1847003471790323,210,128,0.1847003471790323
O,344X25,-0.1846446101193573,344,86,0.1846446101193573
M,520X246,-0.1846247649118869,520,128,0.1846247649118869
M,520X144,-0.18462368464561074,520,128,0.18462368464561074
M,520X353,-0.18462260443391992,520,128,0.18462260443391992
M,360X425,0.1845189978651759,360,128,0.1845189978651759
M,440AX125,0.18451354845283335,UNKNOWN,128,0.18451354845283335
N,310X159,0.18451241337069346,310,266,0.18451241337069346
O,360X1321,0.18450656055515566,360,86,0.18450656055515566
M,520X46,-0.1844773776798301,520,128,0.1844773776798301
O,400X32,-0.18441780692023374,400,86,0.18441780692023374
M,520X134,0.18434218996423446,520,128,0.18434218996423446
N,310X20,-0.18432397872028924,310,266,0.18432397872028924
M,330X1010,0.18425938111141074,330,128,0.18425938111141074
M,520X186,-0.18425762221021155,520,128,0.18425762221021155
O,210X228,-0.18419412105435973,210,86,0.18419412105435973
J,360X261,-0.18412223126099994,360,142,0.18412223126099994
O,330X139,-0.1841208347122931,330,86,0.1841208347122931
O,420X138,0.1840380233049804,420,86,0.1840380233049804
N,330X719,0.18402606922877376,330,266,0.18402606922877376
N,330X729,0.18401435753101372,330,266,0.18401435753101372
M,330X155,-0.18398134522883416,330,128,0.18398134522883416
N,330X828,0.18398101637226097,330,266,0.18398101637226097
L,ERROR:#N/A_3 (#1),0.1839594466879645,UNKNOWN,178,0.1839594466879645
J,750X896,0.18392654269306014,750,142,0.18392654269306014
N,330X858,-0.1839205716438675,330,266,0.1839205716438675
O,520X307,0.1839116982312575,520,86,0.1839116982312575
N,330X759,-0.18389989498617434,330,266,0.18389989498617434
J,330X114,0.1838914149046096,330,142,0.1838914149046096
N,330X749,-0.18381869625082814,330,266,0.18381869625082814
M,312X52,-0.18376678643315236,312,128,0.18376678643315236
M,312X59,-0.18374002622405156,312,128,0.18374002622405156
M,330X107,-0.18369046442345172,330,128,0.18369046442345172
N,330X450,-0.18361308968156764,330,266,0.18361308968156764
O,330X609,0.18357165452866267,330,86,0.18357165452866267
J,330X1010,-0.1833960641763059,330,142,0.1833960641763059
M,220X174,0.1833728638099471,220,128,0.1833728638099471
L,210X139,0.18328679323007216,210,178,0.18328679323007216
M,210X117,-0.18307036747096814,210,128,0.18307036747096814
J,360X653,-0.18306312900794638,360,142,0.18306312900794638
M,420X92,0.182966859863437,420,128,0.182966859863437
O,340X45,0.1829068993051363,340,86,0.1829068993051363
O,750X1017,0.1829010830222486,750,86,0.1829010830222486
M,312X363,0.18287983458778234,312,128,0.18287983458778234
M,220X166,-0.18279956216297727,220,128,0.18279956216297727
M,344X27,0.18275242616374912,344,128,0.18275242616374912
O,360X403,-0.18266780514524467,360,86,0.18266780514524467
N,330X576,0.18266266260160066,330,266,0.18266266260160066
J,330X566,-0.18261489452674468,330,142,0.18261489452674468
M,311X190,-0.182572785287703,311,128,0.182572785287703
J,312X468,-0.18255024395992853,312,142,0.18255024395992853
J,344X174,-0.18250163473133602,344,142,0.18250163473133602
M,750X1190,-0.18246233167052736,750,128,0.18246233167052736
M,330X943,0.18242304714738067,330,128,0.18242304714738067
J,520X295,-0.18230956319496736,520,142,0.18230956319496736
N,310X33,-0.18229679939380433,310,266,0.18229679939380433
O,310X107,0.1822940586220853,310,86,0.1822940586220853
M,340X40,-0.1822062736039046,340,128,0.1822062736039046
O,310X162,0.18204990989310074,310,86,0.18204990989310074
O,210X42,0.18202267495556548,210,86,0.18202267495556548
N,330X578,0.18196659682848698,330,266,0.18196659682848698
O,420X158,-0.1819650243302685,420,86,0.1819650243302685
L,420X87,0.1819298670902246,420,178,0.1819298670902246
O,344X10,-0.18186808188866124,344,86,0.18186808188866124
J,344X192,-0.18181492525883286,344,142,0.18181492525883286
M,220X193,0.1817708884649603,220,128,0.1817708884649603
M,520X351,-0.18173635581607686,520,128,0.18173635581607686
J,311X93,-0.18173401321062801,311,142,0.18173401321062801
J,344X191,-0.18167582563594015,344,142,0.18167582563594015
M,440AX143,0.18163411072446606,UNKNOWN,128,0.18163411072446606
J,312X280,0.18160634402515347,312,142,0.18160634402515347
L,344X106,-0.1815830083225247,344,178,0.1815830083225247
O,330X595,0.18156854179571227,330,86,0.18156854179571227
M,210X123,-0.1815648003408924,210,128,0.1815648003408924
M,210X97,-0.18155882939024914,210,128,0.18155882939024914
L,210X14,-0.18152028701895065,210,178,0.18152028701895065
O,312X444,-0.18135160986451337,312,86,0.18135160986451337
M,312X341,0.18134608104621902,312,128,0.18134608104621902
J,312X673,-0.1813343667858304,312,142,0.1813343667858304
M,210X56,-0.18125063703425873,210,128,0.18125063703425873
O,340X77,0.18124607997651232,340,86,0.18124607997651232
M,220X195,0.18123853277518195,220,128,0.18123853277518195
M,311X118,-0.18122574694629015,311,128,0.18122574694629015
J,312X679,-0.18121935506988857,312,142,0.18121935506988857
J,360X704,-0.1810720364882956,360,142,0.1810720364882956
M,330X1166,0.18099763645687394,330,128,0.18099763645687394
O,312X69,0.18087099608325527,312,86,0.18087099608325527
M,340X51,0.18086430605218257,340,128,0.18086430605218257
M,750X133,-0.18086096993277068,750,128,0.18086096993277068
L,420X86,0.18080279498108867,420,178,0.18080279498108867
J,312X667,-0.18080049785304866,312,142,0.18080049785304866
M,310X176,-0.18077507453741495,310,128,0.18077507453741495
N,220X9,0.18076046091587775,220,266,0.18076046091587775
O,344X225,-0.18068941045777637,344,86,0.18068941045777637
N,210X15,-0.1806457764881811,210,266,0.1806457764881811
O,750X508,-0.18060778535062424,750,86,0.18060778535062424
M,520X1,-0.1805655517828596,520,128,0.1805655517828596
J,420X122,-0.1805152330511231,420,142,0.1805152330511231
M,420X214,0.18049020337258637,420,128,0.18049020337258637
O,312X631,0.18048396008081086,312,86,0.18048396008081086
M,312X365,0.18042031328743582,312,128,0.18042031328743582
J,220X188,0.1804074368148161,220,142,0.1804074368148161
L,420X147,0.18040698235157981,420,178,0.18040698235157981
M,311X188,-0.18039193683954127,311,128,0.18039193683954127
N,520X329,0.18037107008312564,520,266,0.18037107008312564
J,750X554,0.18031161007246957,750,142,0.18031161007246957
M,330X933,0.1801979601960855,330,128,0.1801979601960855
O,311X6,0.1801841292010926,311,86,0.1801841292010926
J,360X1288,0.1800770268231704,360,142,0.1800770268231704
L,420X90,0.1800458597939105,420,178,0.1800458597939105
N,330X806,-0.1799563760341828,330,266,0.1799563760341828
L,330X553,-0.17991545341442125,330,178,0.17991545341442125
J,360X521,0.17982057436545476,360,142,0.17982057436545476
L,210X226,0.1797990571357823,210,178,0.1797990571357823
M,330X930,0.1797747306645926,330,128,0.1797747306645926
O,360X111,0.1797472261623424,360,86,0.1797472261623424
J,360X971,0.1797205791782129,360,142,0.1797205791782129
O,520X261,0.17969325488009433,520,86,0.17969325488009433
M,340X39,-0.17963961106287685,340,128,0.17963961106287685
O,312X373,0.17961467479738494,312,86,0.17961467479738494
M,330X936,0.17958113405302958,330,128,0.17958113405302958
N,330X800,-0.1795077394231386,330,266,0.1795077394231386
O,440AX122,0.17935829684781884,UNKNOWN,86,0.17935829684781884
L,312X95,0.17925598032684456,312,178,0.17925598032684456
M,311X130,-0.17924797565455752,311,128,0.17924797565455752
M,360X436,0.17923650943137964,360,128,0.17923650943137964
L,420X89,0.17921755225336503,420,178,0.17921755225336503
L,420X88,0.17919038887454217,420,178,0.17919038887454217
O,312X91,0.17913385687069494,312,86,0.17913385687069494
J,330X1016,-0.17911549489873604,330,142,0.17911549489873604
M,340X108,0.17903512308663144,340,128,0.17903512308663144
L,330X472,-0.1790234381392446,330,178,0.1790234381392446
N,220X26,0.1789930947001528,220,266,0.1789930947001528
L,420X85,0.17896820855589854,420,178,0.17896820855589854
O,344X29,-0.17894995813020875,344,86,0.17894995813020875
N,330X803,-0.1789485989577589,330,266,0.1789485989577589
M,311X191,-0.17891204461782692,311,128,0.17891204461782692
N,310X170,-0.1789046886098166,310,266,0.1789046886098166
M,520X239,-0.17880571857330055,520,128,0.17880571857330055
M,220X189,-0.1787872299668044,220,128,0.1787872299668044
M,311X187,-0.17870976889148305,311,128,0.17870976889148305
M,311X103,-0.17869685469631152,311,128,0.17869685469631152
O,750X327,-0.17869427507983027,750,86,0.17869427507983027
O,344X253,0.1786907228805498,344,86,0.1786907228805498
J,ERROR:#N/A_17,-0.1786354613634465,UNKNOWN,142,0.1786354613634465
O,340X109,0.1786300415616039,340,86,0.1786300415616039
L,311X7,-0.1786048390333685,311,178,0.1786048390333685
J,312X438,-0.1785611218177621,312,142,0.1785611218177621
O,310X117,-0.17850588475461013,310,86,0.17850588475461013
J,520X318,-0.17843210275214022,520,142,0.17843210275214022
O,220X8,0.17842364668388946,220,86,0.17842364668388946
O,312X426,0.17842096453806452,312,86,0.17842096453806452
N,220X194,-0.17822421260874616,220,266,0.17822421260874616
L,330X567,-0.1782187613345463,330,178,0.1782187613345463
N,330X440,-0.1781724654875544,330,266,0.1781724654875544
M,520X184,0.17814483989528213,520,128,0.17814483989528213
M,220X168,-0.17779243841693976,220,128,0.17779243841693976
M,312X364,0.17777930706783093,312,128,0.17777930706783093
L,344X210,-0.17763872952128312,344,178,0.17763872952128312
O,440AX121,0.1776046585373548,UNKNOWN,86,0.1776046585373548
J,312X46,0.1775562891719276,312,142,0.1775562891719276
N,312X307,0.177540092920961,312,266,0.177540092920961
M,400X4,-0.1774468979535282,400,128,0.1774468979535282
O,360X1190,0.17742547915333926,360,86,0.17742547915333926
O,340X145,-0.17736739491382714,340,86,0.17736739491382714
O,220X204,-0.17728909853309993,220,86,0.17728909853309993
J,344X156,-0.17724119786444648,344,142,0.17724119786444648
M,420X34,0.17701412509783024,420,128,0.17701412509783024
M,330X920,0.17698634546432057,330,128,0.17698634546432057
J,210X39,0.17697491632438986,210,142,0.17697491632438986
J,312X464,-0.17696310561178644,312,142,0.17696310561178644
J,312X463,-0.17695452774274922,312,142,0.17695452774274922
J,312X583,-0.17695408869418003,312,142,0.17695408869418003
J,312X579,-0.17694943819337478,312,142,0.17694943819337478
J,312X578,-0.1769371130792251,312,142,0.1769371130792251
J,312X458,-0.17693104828574938,312,142,0.17693104828574938
J,312X511,-0.17691847874030117,312,142,0.17691847874030117
J,312X457,-0.17691847874030076,312,142,0.17691847874030076
J,312X585,-0.17691674307136884,312,142,0.17691674307136884
J,312X577,-0.1769148075607063,312,142,0.1769148075607063
J,312X470,-0.1769074631960245,312,142,0.1769074631960245
J,312X584,-0.17689892119192568,312,142,0.17689892119192568
J,312X469,-0.17686265422747915,312,142,0.17686265422747915
L,311X20,-0.17685999553373252,311,178,0.17685999553373252
O,310X105,-0.1768578457851271,310,86,0.1768578457851271
M,440AX122,0.17683707870474202,UNKNOWN,128,0.17683707870474202
J,310X154,0.1768345024446635,310,142,0.1768345024446635
O,750X605,0.17679377001891847,750,86,0.17679377001891847
O,210X54,0.1767225791697658,210,86,0.1767225791697658
M,312X53,-0.17670000689624063,312,128,0.17670000689624063
O,312X725,0.17669714549491936,312,86,0.17669714549491936
L,330X560,-0.17657993298624788,330,178,0.17657993298624788
N,520X140,-0.17657025031123771,520,266,0.17657025031123771
M,310X155,0.17653085611644034,310,128,0.17653085611644034
N,310X15,0.17651077293708273,310,266,0.17651077293708273
J,340X15,-0.17645849975800876,340,142,0.17645849975800876
O,340X193,0.17633453161025975,340,86,0.17633453161025975
O,440AX123,0.17626419885994898,UNKNOWN,86,0.17626419885994898
J,210X91,-0.17624645987879303,210,142,0.17624645987879303
J,344X196,-0.176208577511146,344,142,0.176208577511146
M,520X47,-0.17617333553795736,520,128,0.17617333553795736
O,220X27,0.17603263841347824,220,86,0.17603263841347824
L,312X307,-0.17599952920443707,312,178,0.17599952920443707
O,360X176,-0.17599559626424643,360,86,0.17599559626424643
M,520X324,0.17597234761117314,520,128,0.17597234761117314
M,420X91,0.17593828347181323,420,128,0.17593828347181323
M,340X67,-0.17587051489539895,340,128,0.17587051489539895
M,520X78,-0.17584549232568,520,128,0.17584549232568
M,360X263,0.17582344822990284,360,128,0.17582344822990284
L,310X43,-0.1758231193194244,310,178,0.1758231193194244
J,344X15,0.17557889079358252,344,142,0.17557889079358252
M,360X414,0.1755723546487633,360,128,0.1755723546487633
O,750X685,-0.1754392962314743,750,86,0.1754392962314743
O,210X123,0.1754338425610164,210,86,0.1754338425610164
M,330X29,0.17540394229085784,330,128,0.17540394229085784
M,330X26,0.17538784396378862,330,128,0.17538784396378862
M,400X21,0.17536941400971853,400,128,0.17536941400971853
O,210X56,0.1752821630458792,210,86,0.1752821630458792
O,312X361,-0.17527585745141103,312,86,0.17527585745141103
M,330X23,0.1752684208835547,330,128,0.1752684208835547
J,750X307,-0.17520804055879516,750,142,0.17520804055879516
N,210X3,0.17520717119980397,210,266,0.17520717119980397
M,312X591,0.17518170542615394,312,128,0.17518170542615394
M,344X123,-0.1751763908965954,344,128,0.1751763908965954
J,520X289,-0.17513654698104636,520,142,0.17513654698104636
J,312X447,-0.17503834241836883,312,142,0.17503834241836883
O,420X160,-0.17500456396323608,420,86,0.17500456396323608
J,330X410,-0.17499100861412273,330,142,0.17499100861412273
O,312X643,0.17489988369724258,312,86,0.17489988369724258
O,310X152,0.1748381225351287,310,86,0.1748381225351287
L,400X227,0.17482853996998168,400,178,0.17482853996998168
M,750X1267,0.1748261753841615,750,128,0.1748261753841615
M,330X940,0.17476037731760688,330,128,0.17476037731760688
M,311X106,-0.17470652944312806,311,128,0.17470652944312806
J,312X576,0.17467050654500663,312,142,0.17467050654500663
J,330X29,-0.17453713739620802,330,142,0.17453713739620802
M,330X519,-0.17445921793061717,330,128,0.17445921793061717
L,311X162,-0.1743710919664678,311,178,0.1743710919664678
N,330X709,0.174368140947437,330,266,0.174368140947437
N,520X284,-0.1742725801383442,520,266,0.1742725801383442
O,344X6,-0.17422135200879513,344,86,0.17422135200879513
J,520X332,0.17421351801448898,520,142,0.17421351801448898
J,330X254,-0.17416081942114434,330,142,0.17416081942114434
O,312X693,-0.17413427435535644,312,86,0.17413427435535644
M,420X97,0.17411838366951837,420,128,0.17411838366951837
L,420X4,0.17408827169689825,420,178,0.17408827169689825
O,520X166,-0.17407280281320162,520,86,0.17407280281320162
L,210X133,-0.1740455305792684,210,178,0.1740455305792684
L,400X93,-0.17403237169804775,400,178,0.17403237169804775
M,344X126,-0.1739788817331405,344,128,0.1739788817331405
N,210X111,-0.1738995102695976,210,266,0.1738995102695976
O,312X722,0.17372262312947537,312,86,0.17372262312947537
O,360X584,0.17369890978146926,360,86,0.17369890978146926
O,311X9,0.1736630717859241,311,86,0.1736630717859241
J,330X23,-0.1736166877366815,330,142,0.1736166877366815
J,312X7,-0.17357411577834064,312,142,0.17357411577834064
N,330X818,0.1734956725482803,330,266,0.1734956725482803
O,330X338,0.17348550011421623,330,86,0.17348550011421623
M,420X38,0.17344363419907668,420,128,0.17344363419907668
O,330X1212,-0.17335353439194887,330,86,0.17335353439194887
L,330X191,0.1733330549751901,330,178,0.1733330549751901
J,330X420,-0.1733214877272265,330,142,0.1733214877272265
J,311X30,-0.17330321149375702,311,142,0.17330321149375702
O,440AX109,0.17327187744341416,UNKNOWN,86,0.17327187744341416
M,360X637,0.1732266934730944,360,128,0.1732266934730944
M,360X1028,0.17322396507596957,360,128,0.17322396507596957
O,360X1039,0.17321940356552826,360,86,0.17321940356552826
J,330X26,-0.17320908590095074,330,142,0.17320908590095074
M,360X187,0.17314544403717513,360,128,0.17314544403717513
N,330X808,0.17311416114186157,330,266,0.17311416114186157
N,330X1107,0.1730498263703817,330,266,0.1730498263703817
L,344X213,-0.1730431297246796,344,178,0.1730431297246796
J,750X125,-0.17301626437163414,750,142,0.17301626437163414
J,330X393,-0.17301227694607657,330,142,0.17301227694607657
L,330X452,-0.17299440892972676,330,178,0.17299440892972676
O,210X117,0.17299120160697729,210,86,0.17299120160697729
M,340X143,-0.17293275800470687,340,128,0.17293275800470687
L,210X163,-0.17289125097165128,210,178,0.17289125097165128
J,750X131,0.17287307085752968,750,142,0.17287307085752968
J,344X62,-0.17278130264377836,344,142,0.17278130264377836
L,344X201,0.1727142712761763,344,178,0.1727142712761763
L,400X96,-0.17270059564593088,400,178,0.17270059564593088
O,340X4,0.17268617448703136,340,86,0.17268617448703136
M,750X1356,-0.17267218842125995,750,128,0.17267218842125995
M,330X132,-0.17262610878526113,330,128,0.17262610878526113
L,311X22,-0.17254893060479423,311,178,0.17254893060479423
M,312X603,0.17250022674295845,312,128,0.17250022674295845
L,Tool (#5),-0.17247836676448533,UNKNOWN,178,0.17247836676448533
N,330X383,0.17246496239981984,330,266,0.17246496239981984
N,330X373,0.17246313872044033,330,266,0.17246313872044033
N,330X363,0.1724628073564764,330,266,0.1724628073564764
J,330X228,-0.17238436162142523,330,142,0.17238436162142523
L,420X115,-0.17225262791225227,420,178,0.17225262791225227
L,330X475,-0.17222052804716828,330,178,0.17222052804716828
J,344X64,-0.1722203976355414,344,142,0.1722203976355414
O,344X15,-0.17220908168459603,344,86,0.17220908168459603
M,360X392,0.1721671412876948,360,128,0.1721671412876948
M,330X135,-0.17216702841300197,330,128,0.17216702841300197
O,330X475,-0.1721623879455221,330,86,0.1721623879455221
O,310X181,-0.17213028438774056,310,86,0.17213028438774056
J,340X198,-0.17210537062919368,340,142,0.17210537062919368
J,330X395,-0.17204071317091646,330,142,0.17204071317091646
N,520X330,0.17196653047930174,520,266,0.17196653047930174
L,210X80,-0.17194193297165272,210,178,0.17194193297165272
M,210X80,-0.17194193297165272,210,128,0.17194193297165272
J,312X522,0.17191494682769867,312,142,0.17191494682769867
O,330X291,-0.17182348110371157,330,86,0.17182348110371157
M,340X5,0.1715574410061095,340,128,0.1715574410061095
J,750X785,0.1714724812112048,750,142,0.1714724812112048
M,330X388,-0.17144859765128947,330,128,0.17144859765128947
M,520X326,0.17141260995353697,520,128,0.17141260995353697
M,220X178,-0.17139840507416698,220,128,0.17139840507416698
O,420X35,-0.1713808173492441,420,86,0.1713808173492441
M,330X1013,0.17126965853149173,330,128,0.17126965853149173
O,310X109,-0.1711753126680514,310,86,0.1711753126680514
J,312X223,-0.171105314217951,312,142,0.171105314217951
L,400X100,-0.17109059753253025,400,178,0.17109059753253025
J,340X36,0.1708786251048391,340,142,0.1708786251048391
J,210X98,-0.17078783720833776,210,142,0.17078783720833776
J,312X167,-0.1707335181923926,312,142,0.1707335181923926
O,210X49,0.17070451432817293,210,86,0.17070451432817293
O,210X51,0.1706989923398579,210,86,0.1706989923398579
N,330X902,0.17058807093331294,330,266,0.17058807093331294
J,Chamber ID,-0.17053212804674958,UNKNOWN,142,0.17053212804674958
O,360X541,-0.17048188684201235,360,86,0.17048188684201235
O,310X153,-0.17044683084712062,310,86,0.17044683084712062
O,312X423,0.17041412115380783,312,86,0.17041412115380783
O,210X229,0.17027306251660185,210,86,0.17027306251660185
O,750X1050,0.17015831096258172,750,86,0.17015831096258172
O,330X61,0.17009670403948854,330,86,0.17009670403948854
J,344X66,-0.17007778505321086,344,142,0.17007778505321086
O,312X697,-0.17005397846622108,312,86,0.17005397846622108
M,360X455,0.16997552785604694,360,128,0.16997552785604694
O,311X8,0.1699049698797713,311,86,0.1699049698797713
M,750X475,0.16986458952898778,750,128,0.16986458952898778
M,750X477,-0.16983460141872606,750,128,0.16983460141872606
O,344X41,0.1697670011188107,344,86,0.1697670011188107
O,330X193,-0.16974937475971344,330,86,0.16974937475971344
O,312X713,0.16971801361638594,312,86,0.16971801361638594
L,311X170,-0.16970994151553387,311,178,0.16970994151553387
L,311X77,-0.16966580030970974,311,178,0.16966580030970974
N,750X117,0.16955900846637414,750,266,0.16955900846637414
J,330X104,-0.1695019705586903,330,142,0.1695019705586903
N,220X12,0.16933943415054523,220,266,0.16933943415054523
L,400X92,-0.16929436148859547,400,178,0.16929436148859547
J,220X14,0.1692856189736895,220,142,0.1692856189736895
O,311X32,0.16927353373809315,311,86,0.16927353373809315
M,520X314,0.1692709915116215,520,128,0.1692709915116215
J,360X1006,-0.16920916198477778,360,142,0.16920916198477778
J,312X642,0.16915222610871516,312,142,0.16915222610871516
J,312X279,0.1691455321996436,312,142,0.1691455321996436
O,310X115,-0.16901628671133348,310,86,0.16901628671133348
N,ERROR:#N/A_5,0.16900974594738022,UNKNOWN,266,0.16900974594738022
J,360X645,-0.16900024437072642,360,142,0.16900024437072642
M,750X1364,0.16893977087115886,750,128,0.16893977087115886
L,420X187,-0.16882724364184734,420,178,0.16882724364184734
L,330X300,0.16882475840458067,330,178,0.16882475840458067
L,210X169,-0.16869821256429354,210,178,0.16869821256429354
M,220X53,-0.168689006706068,220,128,0.168689006706068
L,210X121,-0.16868712139774827,210,178,0.16868712139774827
L,210X135,-0.1686731665272116,210,178,0.1686731665272116
M,520X108,0.16862839026024196,520,128,0.16862839026024196
J,360X14,-0.16860276545010805,360,142,0.16860276545010805
J,360X595,0.1685971970715972,360,142,0.1685971970715972
M,ERROR:#N/A_17,0.16855739426687186,UNKNOWN,128,0.16855739426687186
J,312X303,0.16854174119243032,312,142,0.16854174119243032
M,520X93,-0.16844685313049493,520,128,0.16844685313049493
M,750X109,-0.168373031550702,750,128,0.168373031550702
N,360X765,-0.16828254164710757,360,266,0.16828254164710757
O,344X13,-0.16822366791074767,344,86,0.16822366791074767
L,210X157,-0.16814479559519938,210,178,0.16814479559519938
J,360X1039,-0.16814129549632756,360,142,0.16814129549632756
L,330X407,0.16814021676550772,330,178,0.16814021676550772
M,210X147,0.16811665018813857,210,128,0.16811665018813857
