feature,operation,feature_type,unit,physical_interpretation,interpretation_limit
proc__312__q25_z,312,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__330X11,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X177,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X195,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X168,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__360X307,360,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__750__std_z,750,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__311X74,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__210__median_z,210,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__300__q25_z,300,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__311__std_z,311,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__520X83,520,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X103,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__520__max_z,520,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__311X73,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X119,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
time__520__span_min,520,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__360X368,360,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__311__range_z,311,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__210X81,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
time__300__median_day,300,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__210X187,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__311__zero_rate,311,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__330X626,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__310__min_z,310,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__750X743,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X178,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__330X266,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__750X765,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X158,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__360X1127,360,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X11,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__440A__median_z,440A,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__311X61,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X114,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X190,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X193,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__360X425,360,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X25,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__520X47,520,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__520X33,520,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X122,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__330X353,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__330X147,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__311__q75_z,311,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__420X67,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
time__400__span_min,400,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__330X422,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
time__330__start_day,330,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__312X520,312,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__311__q25_z,311,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__750X25,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__420X100,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__311__mean_z,311,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__344X22,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__344__min_z,344,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__210X160,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X70,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
cat__Chamber ID_1,META,设备/工艺类别,类别指示,机台、腔体或工艺路线身份,匿名类别不表示性能高低
raw__311X8,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__ERROR:#N/A_8,META,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__440A__min_z,440A,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__360__range_z,360,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__750X185,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X151,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__210__outlier_rate,210,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
route__220_to_300__gap_hours,220_to_300,跨工序时间,小时或0/1,相邻工序等待时间或并行重叠状态,工序先后关系按编号排序，需要业务确认
raw__750X252,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X67,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__360X702,360,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__520__mean_z,520,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
time__420__span_min,420,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__344X105,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__360__outlier_rate,360,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
time__300__span_min,300,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
proc__210__q75_z,210,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__310X119,310,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__750X155,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__330__q75_z,330,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__440A__max_z,440A,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
route__310_to_311__gap_hours,310_to_311,跨工序时间,小时或0/1,相邻工序等待时间或并行重叠状态,工序先后关系按编号排序，需要业务确认
time__330__end_day,330,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
proc__311__median_z,311,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__310__range_z,310,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__ERROR:#N/A_25,META,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__400__q75_z,400,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__344__zero_rate,344,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__750X294,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__330X595,330,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X85,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__400__range_z,400,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__520X23,520,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__400__std_z,400,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__210__zero_rate,210,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__220__range_z,220,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__344__mean_z,344,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
time__420__median_day,420,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__420X209,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X77,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X69,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__750X198,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__310__q25_z,310,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__220__min_z,220,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__210__min_z,210,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__300__q75_z,300,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__300__max_z,300,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__420X212,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__220__q75_z,220,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__420__max_z,420,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__210X166,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__360X434,360,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__340__zero_rate,340,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__344X159,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X212,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X149,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
time__311__span_min,311,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
route__300_to_310__gap_hours,300_to_310,跨工序时间,小时或0/1,相邻工序等待时间或并行重叠状态,工序先后关系按编号排序，需要业务确认
raw__311X65,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X192,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
time__420__start_day,420,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
raw__420X208,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__520__std_z,520,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__344X176,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__420X70,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__520X178,520,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X164,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X149,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X130,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X161,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__311__min_z,311,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__750X661,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__520X97,520,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__750__median_z,750,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__344__std_z,344,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
time__220__span_min,220,工序时间,天或分钟,工序开始、结束、中位时间或工序内跨度,时间列含义由格式推断，需结合工艺时序复核
proc__210__q25_z,210,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__311X28,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__300__range_z,300,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__420X91,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X52,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__360X14,360,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__520X37,520,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X75,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X137,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X42,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__360X155,360,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__340__outlier_rate,340,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__312__outlier_rate,312,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__340X11,340,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__312__mean_z,312,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__210X27,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X54,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X71,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X143,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__330__std_z,330,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__210X61,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X159,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X68,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__520__range_z,520,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__360X776,360,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X142,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__330__median_z,330,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__210X153,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__344__q75_z,344,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__311X155,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__520__q25_z,520,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__311X5,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__420X96,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
route__360_to_400__gap_hours,360_to_400,跨工序时间,小时或0/1,相邻工序等待时间或并行重叠状态,工序先后关系按编号排序，需要业务确认
proc__360__min_z,360,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__400__mean_z,400,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__420__zero_rate,420,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__420X4,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__420X98,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__520X177,520,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__344__max_z,344,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__420X38,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__340__q75_z,340,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
route__420_to_520__gap_hours,420_to_520,跨工序时间,小时或0/1,相邻工序等待时间或并行重叠状态,工序先后关系按编号排序，需要业务确认
raw__750X1116,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X76,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__310__std_z,310,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__312__q75_z,312,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__520__q75_z,520,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__360__std_z,360,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__220__mean_z,220,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__750__mean_z,750,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__520X52,520,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__210X193,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__340__mean_z,340,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__344__range_z,344,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__300__std_z,300,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__312__zero_rate,312,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__360__mean_z,360,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__210X117,210,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__344X37,344,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__420X194,420,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
raw__311X205,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__360__q75_z,360,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__310__mean_z,310,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__311X92,311,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__210__std_z,210,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
proc__400__min_z,400,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
raw__750X776,750,匿名原始过程变量,原始量纲未知,对应工序中的机台或工艺测量值,需由字段数据字典确认是温度、流量、功率或其他参数
proc__440A__range_z,440A,工序稳健统计,无量纲或比例,该工序整体偏离正常设备分布的程度,是匿名变量的统计汇总，不等同于单一物理量
