field,operation,observed_type,physical_meaning,unit,measurement_event,source_system,earliest_available_time,Y_measurement_time,available_before_Y,evidence_reference,prospective_eligibility,offline_complete_record_use
312X7,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X8,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X9,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X10,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X11,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X12,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X13,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X14,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X15,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X16,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X17,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X18,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X19,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X20,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X21,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X22,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X23,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X24,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X25,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X26,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X27,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X28,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X29,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X30,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X31,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X32,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X33,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X34,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X35,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X36,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X37,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X38,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X39,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X40,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X41,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X42,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X43,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X44,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X45,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X46,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X47,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X48,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X49,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X50,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X51,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X52,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X53,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X54,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X55,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X57,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X58,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X59,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X60,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X61,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X63,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X64,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X65,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X66,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X67,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X69,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X70,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X71,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X72,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X73,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X75,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X76,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X77,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X78,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X79,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X81,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X82,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X83,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X84,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X85,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X87,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X88,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X89,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X90,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X91,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X93,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X94,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X95,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X96,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X97,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X99,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X100,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X101,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X102,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X103,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X105,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X106,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X107,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X108,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X109,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X111,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X112,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X113,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X114,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X115,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X117,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X118,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X119,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X120,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X121,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X123,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X124,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X125,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X126,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X127,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X129,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X130,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X131,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X132,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X133,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X135,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X136,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X137,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X138,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X139,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X141,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X142,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X143,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X144,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X145,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X147,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X148,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X149,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X150,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X151,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X153,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X154,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X155,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X156,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X157,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X159,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X160,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X161,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X162,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X163,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X165,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X166,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X167,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X168,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X169,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X171,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X172,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X173,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X174,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X175,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X177,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X178,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X179,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X180,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X181,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X183,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X184,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X185,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X186,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X187,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X189,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X190,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X191,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X192,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X193,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X195,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X196,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X197,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X198,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X199,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X201,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X202,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X203,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X204,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X205,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X207,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X208,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X209,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X210,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X211,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X213,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X214,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X215,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X216,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X217,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X219,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X220,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X221,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X222,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X223,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X225,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X226,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X227,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X228,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X229,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X231,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X232,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X233,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X234,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X235,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X236,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X237,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X238,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X239,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X240,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X242,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X243,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X244,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X245,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X246,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X247,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X248,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X249,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X250,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X251,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X253,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X254,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X255,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X256,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X257,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X259,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X260,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X261,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X262,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X263,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X265,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X266,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X267,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X268,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X269,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X271,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X272,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
312X273,312,numeric,unverified,unverified,unverified,unverified,unverified,unverified,unverified,no field dictionary or event log supplied,not established,retrospective only
